Site,Site Type,Latitude,Longitude,Emirate,Authority,Pollutant
Deira,NaN,25.26761,55.31303,Dubai,DM,SO2
Deira,NaN,25.26761,55.31303,Dubai,DM,NO2
Deira,NaN,25.26761,55.31303,Dubai,DM,O3
Deira,NaN,25.26761,55.31303,Dubai,DM,CO
Deira,NaN,25.26761,55.31303,Dubai,DM,PM2.5
Karama,NaN,25.2432,55.30867,Dubai,DM,SO2
Karama,NaN,25.2432,55.30867,Dubai,DM,NO2
Karama,NaN,25.2432,55.30867,Dubai,DM,CO
Karama,NaN,25.2432,55.30867,Dubai,DM,PM10
Zabeel,NaN,25.23641,55.29868,Dubai,DM,SO2
Zabeel,NaN,25.23641,55.29868,Dubai,DM,NO2
Zabeel,NaN,25.23641,55.29868,Dubai,DM,O3
Zabeel,NaN,25.23641,55.29868,Dubai,DM,CO
Zabeel,NaN,25.23641,55.29868,Dubai,DM,PM2.5
Zabeel,NaN,25.23641,55.29868,Dubai,DM,Lower Ambient Temperature
Zabeel,NaN,25.23641,55.29868,Dubai,DM,RelativeHumidity
Zabeel,NaN,25.23641,55.29868,Dubai,DM,Wind Direction
Zabeel,NaN,25.23641,55.29868,Dubai,DM,Wind Speed
Zabeel,NaN,25.23641,55.29868,Dubai,DM,H2S
Zabeel,NaN,25.23641,55.29868,Dubai,DM,Noise
Safa,NaN,25.18832,55.24624,Dubai,DM,SO2
Safa,NaN,25.18832,55.24624,Dubai,DM,NO2
Safa,NaN,25.18832,55.24624,Dubai,DM,O3
Safa,NaN,25.18832,55.24624,Dubai,DM,CO
Safa,NaN,25.18832,55.24624,Dubai,DM,PM2.5
JEBEL ALI VILLAGE,NaN,25.02944,55.11259,Dubai,DM,SO2
JEBEL ALI VILLAGE,NaN,25.02944,55.11259,Dubai,DM,NO2
JEBEL ALI VILLAGE,NaN,25.02944,55.11259,Dubai,DM,O3
JEBEL ALI VILLAGE,NaN,25.02944,55.11259,Dubai,DM,CO
EMIRATE SHILLS,NaN,25.07445,55.15958,Dubai,DM,SO2
EMIRATE SHILLS,NaN,25.07445,55.15958,Dubai,DM,NO2
EMIRATE SHILLS,NaN,25.07445,55.15958,Dubai,DM,O3
EMIRATE SHILLS,NaN,25.07445,55.15958,Dubai,DM,CO
EMIRATE SHILLS,NaN,25.07445,55.15958,Dubai,DM,PM10
EMIRATE SHILLS,NaN,25.07445,55.15958,Dubai,DM,PM2.5
DUBAI AIRPORT,NaN,25.24732,55.38628,Dubai,DM,SO2
DUBAI AIRPORT,NaN,25.24732,55.38628,Dubai,DM,NO2
DUBAI AIRPORT,NaN,25.24732,55.38628,Dubai,DM,CO
DUBAI AIRPORT,NaN,25.24732,55.38628,Dubai,DM,PM10
DUBAI AIRPORT,NaN,25.24732,55.38628,Dubai,DM,PM2.5
MUSHRIF,NaN,25.22006,55.45727,Dubai,DM,NO2
MUSHRIF,NaN,25.22006,55.45727,Dubai,DM,O3
MUSHRIF,NaN,25.22006,55.45727,Dubai,DM,PM2.5
MUSHRIF,NaN,25.22006,55.45727,Dubai,DM,Upper Ambient Temperature
MUSHRIF,NaN,25.22006,55.45727,Dubai,DM,RelativeHumidity
MUSHRIF,NaN,25.22006,55.45727,Dubai,DM,Wind Direction
MUSHRIF,NaN,25.22006,55.45727,Dubai,DM,Wind Speed
Hatta,NaN,24.81787,56.13181,Dubai,DM,SO2
Hatta,NaN,24.81787,56.13181,Dubai,DM,NO2
Hatta,NaN,24.81787,56.13181,Dubai,DM,O3
Hatta,NaN,24.81787,56.13181,Dubai,DM,PM10
Hatta,NaN,24.81787,56.13181,Dubai,DM,Upper Ambient Temperature
Hatta,NaN,24.81787,56.13181,Dubai,DM,RelativeHumidity
Hatta,NaN,24.81787,56.13181,Dubai,DM,Wind Direction
Hatta,NaN,24.81787,56.13181,Dubai,DM,Wind Speed
JEBEL ALIPORT,NaN,25.0075,55.08423,Dubai,DM,SO2
JEBEL ALIPORT,NaN,25.0075,55.08423,Dubai,DM,NO2
JEBEL ALIPORT,NaN,25.0075,55.08423,Dubai,DM,CO
JEBEL ALIPORT,NaN,25.0075,55.08423,Dubai,DM,PM10
JEBEL ALIPORT,NaN,25.0075,55.08423,Dubai,DM,Upper Ambient Temperature
JEBEL ALIPORT,NaN,25.0075,55.08423,Dubai,DM,RelativeHumidity
JEBEL ALIPORT,NaN,25.0075,55.08423,Dubai,DM,Wind Direction
JEBEL ALIPORT,NaN,25.0075,55.08423,Dubai,DM,Wind Speed
Warsan,NaN,25.15181,55.42918,Dubai,DM,SO2
Warsan,NaN,25.15181,55.42918,Dubai,DM,NO2
Warsan,NaN,25.15181,55.42918,Dubai,DM,O3
Warsan,NaN,25.15181,55.42918,Dubai,DM,Upper Ambient Temperature
Warsan,NaN,25.15181,55.42918,Dubai,DM,RelativeHumidity
Warsan,NaN,25.15181,55.42918,Dubai,DM,Wind Direction
Warsan,NaN,25.15181,55.42918,Dubai,DM,Wind Speed
SHK. ZAYED ROAD,NaN,25.22005,55.28185,Dubai,DM,SO2
SHK. ZAYED ROAD,NaN,25.22005,55.28185,Dubai,DM,NO2
SHK. ZAYED ROAD,NaN,25.22005,55.28185,Dubai,DM,CO
SHK. ZAYED ROAD,NaN,25.22005,55.28185,Dubai,DM,PM10
