Site,Site Type,Latitude,Longitude,Emirate,Authority,Pollutant
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,SO2
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,NO2
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,CO
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,PM10
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,PM2.5
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,Lower Ambient Temperature
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,Upper Ambient Temperature
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,Wind Direction
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,Wind Speed
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,Toluene
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,O_Xylene
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,EthylBenzene
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,mp_xylene_
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,Benzene
Hamdan Street,Urban Traffic,24.488928,54.36372,Abu Dhabi,EAD,Noise
Khadeja Primary School,Urban Background,24.481558,54.36933,Abu Dhabi,EAD,SO2
Khadeja Primary School,Urban Background,24.481558,54.36933,Abu Dhabi,EAD,NO2
Khadeja Primary School,Urban Background,24.481558,54.36933,Abu Dhabi,EAD,O3
Khadeja Primary School,Urban Background,24.481558,54.36933,Abu Dhabi,EAD,PM10
Khadeja Primary School,Urban Background,24.481558,54.36933,Abu Dhabi,EAD,PM2.5
Khadeja Primary School,Urban Background,24.481558,54.36933,Abu Dhabi,EAD,Lower Ambient Temperature
Khadeja Primary School,Urban Background,24.481558,54.36933,Abu Dhabi,EAD,Wind Direction
Khadeja Primary School,Urban Background,24.481558,54.36933,Abu Dhabi,EAD,Wind Speed
Khadeja Primary School,Urban Background,24.481558,54.36933,Abu Dhabi,EAD,H2S
Khalifa High School,Suburban Background,24.430092,54.40843,Abu Dhabi,EAD,SO2
Khalifa High School,Suburban Background,24.430092,54.40843,Abu Dhabi,EAD,NO2
Khalifa High School,Suburban Background,24.430092,54.40843,Abu Dhabi,EAD,O3
Khalifa High School,Suburban Background,24.430092,54.40843,Abu Dhabi,EAD,PM10
Khalifa High School,Suburban Background,24.430092,54.40843,Abu Dhabi,EAD,PM2.5
Khalifa High School,Suburban Background,24.430092,54.40843,Abu Dhabi,EAD,Lower Ambient Temperature
Khalifa High School,Suburban Background,24.430092,54.40843,Abu Dhabi,EAD,RelativeHumidity
Khalifa High School,Suburban Background,24.430092,54.40843,Abu Dhabi,EAD,Wind Direction
Khalifa High School,Suburban Background,24.430092,54.40843,Abu Dhabi,EAD,Wind Speed
Khalifa High School,Suburban Background,24.430092,54.40843,Abu Dhabi,EAD,H2S
Khalifa High School,Suburban Background,24.430092,54.40843,Abu Dhabi,EAD,Noise
Mussafah,Suburban Industrial,24.3472,54.50288,Abu Dhabi,EAD,SO2
Mussafah,Suburban Industrial,24.3472,54.50288,Abu Dhabi,EAD,NO2
Mussafah,Suburban Industrial,24.3472,54.50288,Abu Dhabi,EAD,PM10
Mussafah,Suburban Industrial,24.3472,54.50288,Abu Dhabi,EAD,PM2.5
Mussafah,Suburban Industrial,24.3472,54.50288,Abu Dhabi,EAD,Lower Ambient Temperature
Mussafah,Suburban Industrial,24.3472,54.50288,Abu Dhabi,EAD,Upper Ambient Temperature
Mussafah,Suburban Industrial,24.3472,54.50288,Abu Dhabi,EAD,Wind Direction
Mussafah,Suburban Industrial,24.3472,54.50288,Abu Dhabi,EAD,Wind Speed
Mussafah,Suburban Industrial,24.3472,54.50288,Abu Dhabi,EAD,H2S
Mussafah,Suburban Industrial,24.3472,54.50288,Abu Dhabi,EAD,Noise
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,SO2
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,NO2
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,O3
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,PM10
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,PM2.5
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,Lower Ambient Temperature
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,Upper Ambient Temperature
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,Barometric Pressure
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,RelativeHumidity
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,Wind Direction
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,Wind Speed
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,H2S
Baniyas School,Suburban Background,24.321339,54.63593,Abu Dhabi,EAD,Noise
Al Ain Islamic Ins,Suburban Background,24.219058,55.734864,Abu Dhabi,EAD,SO2
Al Ain Islamic Ins,Suburban Background,24.219058,55.734864,Abu Dhabi,EAD,NO2
Al Ain Islamic Ins,Suburban Background,24.219058,55.734864,Abu Dhabi,EAD,O3
Al Ain Islamic Ins,Suburban Background,24.219058,55.734864,Abu Dhabi,EAD,PM10
Al Ain Islamic Ins,Suburban Background,24.219058,55.734864,Abu Dhabi,EAD,PM2.5
Al Ain Islamic Ins,Suburban Background,24.219058,55.734864,Abu Dhabi,EAD,Lower Ambient Temperature
Al Ain Islamic Ins,Suburban Background,24.219058,55.734864,Abu Dhabi,EAD,Wind Direction
Al Ain Islamic Ins,Suburban Background,24.219058,55.734864,Abu Dhabi,EAD,Wind Speed
Al Ain Islamic Ins,Suburban Background,24.219058,55.734864,Abu Dhabi,EAD,H2S
Al Ain Islamic Ins,Suburban Background,24.219058,55.734864,Abu Dhabi,EAD,Noise
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,SO2
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,NO2
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,CO
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,PM10
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,PM2.5
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,Lower Ambient Temperature
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,Upper Ambient Temperature
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,Wind Direction
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,Wind Speed
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,H2S
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,Toluene
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,O_Xylene
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,EthylBenzene
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,mp_xylene_
Al Ain Street,Urban Traffic,24.225858,55.76583,Abu Dhabi,EAD,Benzene
Bida Zayed,Suburban Background,23.652264,53.70389,Abu Dhabi,EAD,SO2
Bida Zayed,Suburban Background,23.652264,53.70389,Abu Dhabi,EAD,NO2
Bida Zayed,Suburban Background,23.652264,53.70389,Abu Dhabi,EAD,O3
Bida Zayed,Suburban Background,23.652264,53.70389,Abu Dhabi,EAD,PM10
Bida Zayed,Suburban Background,23.652264,53.70389,Abu Dhabi,EAD,PM2.5
Bida Zayed,Suburban Background,23.652264,53.70389,Abu Dhabi,EAD,Lower Ambient Temperature
Bida Zayed,Suburban Background,23.652264,53.70389,Abu Dhabi,EAD,Upper Ambient Temperature
Bida Zayed,Suburban Background,23.652264,53.70389,Abu Dhabi,EAD,Wind Direction
Bida Zayed,Suburban Background,23.652264,53.70389,Abu Dhabi,EAD,Wind Speed
Bida Zayed,Suburban Background,23.652264,53.70389,Abu Dhabi,EAD,H2S
Bida Zayed,Suburban Background,23.652264,53.70389,Abu Dhabi,EAD,Noise
Gayathi School,Suburban Background,23.835511,52.81033,Abu Dhabi,EAD,SO2
Gayathi School,Suburban Background,23.835511,52.81033,Abu Dhabi,EAD,NO2
Gayathi School,Suburban Background,23.835511,52.81033,Abu Dhabi,EAD,O3
Gayathi School,Suburban Background,23.835511,52.81033,Abu Dhabi,EAD,PM10
Gayathi School,Suburban Background,23.835511,52.81033,Abu Dhabi,EAD,PM2.5
Gayathi School,Suburban Background,23.835511,52.81033,Abu Dhabi,EAD,Lower Ambient Temperature
Gayathi School,Suburban Background,23.835511,52.81033,Abu Dhabi,EAD,Upper Ambient Temperature
Gayathi School,Suburban Background,23.835511,52.81033,Abu Dhabi,EAD,Wind Direction
Gayathi School,Suburban Background,23.835511,52.81033,Abu Dhabi,EAD,Wind Speed
Gayathi School,Suburban Background,23.835511,52.81033,Abu Dhabi,EAD,H2S
Gayathi School,Suburban Background,23.835511,52.81033,Abu Dhabi,EAD,Noise
Liwa Oasis,Rural Background Regional,23.095786,53.60641,Abu Dhabi,EAD,SO2
Liwa Oasis,Rural Background Regional,23.095786,53.60641,Abu Dhabi,EAD,NO2
Liwa Oasis,Rural Background Regional,23.095786,53.60641,Abu Dhabi,EAD,O3
Liwa Oasis,Rural Background Regional,23.095786,53.60641,Abu Dhabi,EAD,PM10
Liwa Oasis,Rural Background Regional,23.095786,53.60641,Abu Dhabi,EAD,PM2.5
Liwa Oasis,Rural Background Regional,23.095786,53.60641,Abu Dhabi,EAD,Lower Ambient Temperature
Liwa Oasis,Rural Background Regional,23.095786,53.60641,Abu Dhabi,EAD,Upper Ambient Temperature
Liwa Oasis,Rural Background Regional,23.095786,53.60641,Abu Dhabi,EAD,Wind Direction
Liwa Oasis,Rural Background Regional,23.095786,53.60641,Abu Dhabi,EAD,Wind Speed
Liwa Oasis,Rural Background Regional,23.095786,53.60641,Abu Dhabi,EAD,Noise
Liwa Oasis,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,SO2
Liwa Oasis,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,NO2
Al Ruwais,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,O3
Al Ruwais,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,CO
Al Ruwais,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,PM10
Al Ruwais,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,PM2.5
Al Ruwais,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,Lower Ambient Temperature
Al Ruwais,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,RelativeHumidity
Al Ruwais,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,Wind Direction
Al Ruwais,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,Wind Speed
Al Ruwais,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,H2S
Al Ruwais,Suburban Industrial site downwind of industrial area.,24.090855,52.7548,Abu Dhabi,EAD,Noise
Habshan,Rural Industrial site downwind of industrial area.,23.750404,53.74529,Abu Dhabi,EAD,SO2
Habshan,Rural Industrial site downwind of industrial area.,23.750404,53.74529,Abu Dhabi,EAD,NO2
